museum_reference,interpretation,countTermsDetected,terms,issues,sources,GenAIinterpretation,genAIcountTermsDetected,genAIterms,genAIissues,genAIsources
A.1911.397.243,"A common method for making fire was to rub two pieces of wood together. These firesticks have a cover to keep them dry, which is decorated with red seeds.",0,['No issues detected'],['No issues detected'],['No issues detected'],"Firesticks such as this, with a reed sheath and Abrus precatorius seeds, were used by Australian Aboriginal peoples in daily life for creating fire—a vital source of warmth, light, and sustenance. The decorated sheath honours its role and the ingenuity of its makers, connecting generations through tradition and skill. How might this small object have shaped stories around the fire?",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.372.39,"Coolamon are wooden dishes moulded over a fire to give them their curved shape. They are used to transport food and water, or as baby-carriers.",0,['No issues detected'],['No issues detected'],['No issues detected'],"This coolamon, an elliptical wooden vessel from 19th-century Western Australia, was skillfully crafted and decorated by Aboriginal people. Used for carrying food, water, or even cradling babies, it embodies daily life and tradition. The red pigment and brown stripes reflect both artistic expression and cultural identity. Imagine the hands that shaped, held, and used this vessel—each mark a connection to the Kimberley community’s enduring knowledge and resourcefulness.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1911.397.159,"Across Australia's Northern Territory, Aboriginal women still make string bags to carry food and fish. The bags are lined with feathers or animal fur to stop food falling out through the holes. When making string bags, women sit on the ground and use their outstretched legs as a frame.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Woven from plant fibres, this Australian Aboriginal dilly-bag reflects skill passed through generations. Used to gather and carry food, it embodies deep connections to land and community in Queensland. Notice the open weave—strong yet flexible, it speaks to daily life, resourcefulness, and sustainable practices of its makers. How might this humble bag shape your understanding of life in 19th–20th century Australia?",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
K.2002.825,"Crescent-shaped cane baskets were unique to the Queensland region of Australia. They had to be constructed quickly, because after a few days the cane became too tough to weave. These baskets were used to collect food, and in times of flooding, women used them to catch small fish.",0,['No issues detected'],['No issues detected'],['No issues detected'],"Handwoven from cane plant, this bicornual basket comes from the Aboriginal communities of Port Douglas, Queensland. Used throughout the 19th century, such baskets carried food or personal belongings. The sturdy handle and flared shape reflect skilled craftsmanship and deep knowledge of natural materials. Imagine the daily journeys this basket supported, connecting its maker and user to the land and to one another.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
V.2008.25,"Colourful coiled baskets are popular tourist items, available in many shops and galleries of Aboriginal art. Natural dyes are used to create bright purples, pinks, yellows and reds. The baskets are created by coiling bunches of fibre strands and are expanded and shaped upwards as the work proceeds.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","Woven by Alison (Milyika) Carroll in 2007, this basket’s black, red, and yellow bands honour the colours of the Australian Aboriginal flag. Carroll’s work draws on Pitjantjatjara tradition, each coil crafted from local plant fibre. Such baskets are not just practical objects—they carry the stories, knowledge, and resilience of Aboriginal communities, inviting us to reflect on cultural identity and continuity across generations.",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.403,"In Aboriginal culture, the fibre cord is the most important part of a necklace. It symbolizes the connections between people. Necklaces are worn by men and woman in ceremonies. Shell necklaces are valuable and traded inland across Australia. Great effort and skill went into collecting, cleaning, drilling and threading these tiny shells.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']","This delicate necklace, made from pearl shell oblongs strung on cordage, connects us to the Aboriginal peoples of Cape York Peninsula, Queensland. Crafted in the 19th century, each shimmering bead reflects the natural resources and artistry of its maker. Such adornments not only served as personal decoration but also carried social and cultural meaning within communities. As you look closely, imagine the hands that shaped these shells, linking a tradition that endures through generations.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.372.65,"In the Australian desert, survival depends upon knowing how to manage resources. Every part of an animal can be useful. Traditionally, sinew from a kangaroo or emu was used to secure spearheads to handles or as thread for making a necklace. The introduction of sheep by Europeans has totally transformed the Australian landscape.",0,['No issues detected'],['No issues detected'],['No issues detected'],"Sinews (candarra) from emu and kangaroo were essential to Australian Aboriginal life in 19th-century Western Australia. Strong yet flexible, they were painstakingly prepared by hand and used for binding and sewing, from fixing spearheads to mending cloaks. Each strand connects to stories of ingenuity, survival, and continuing cultural tradition. What does the care in this preparation tell you about the makers and their way of life?",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.UC.105,"These bowls are made from Manuka or tea tree wood, which is common in parts of Australia. Knots from a trunk have been hollowed out to create the bowls.",0,['No issues detected'],['No issues detected'],['No issues detected'],"This 19th-century Australian Aboriginal cooking vessel, crafted from sturdy Manuka wood, reveals the ingenuity of its makers. Its rounded form and attached cord made it easy to suspend over a fire, vital for everyday cooking. Imagine the hands that shaped and used this vessel, relying on it to prepare meals and gather community. Each burnished mark speaks to its role in daily life—connecting us to a tradition of resourcefulness and care for the land.",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
V.2009.125,"From his teens, Kaizawa Kōichi (born 1946) was interested in Ainu crafts, making them himself. In 1997, as a plaintiff in the trial concerning the construction of a dam in Nibutani, he won a ruling that the dam was illegal. This ruling was the first time that the Ainu were publicly acknowledged as an indigenous people.",1,['Indigenous'],"['Originally applied to plants and animals, in recent decades it has become a legal term for people who have been colonised by Europe. It refers to specific groups who identify with a place as their original homeland, have deep-rooted traditions there, and who have been displaced from their land by colonisation, often resulting in (cultural) genocide. The term is now seen as empowering, partly due to the UN Declaration on the Rights of Indigenous Peoples (2007), but it is broad and should be used carefully when referring to specific groups.']","['Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/117.\nTropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 117. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.']","Carefully carved by Kaizawa Kōichi in 2000, this wooden bowl reflects the rich traditions of the Ainu people of Hokkaido. Its oval form and gracefully pointed ends recall the natural world so central to Ainu life. Imagine the hands that shaped it and those that use it—each meal connecting past and present through craft and daily ritual.",0,No issues detected,No issues detected,No issues detected
A.1886.15,"While groups of hunters travelled into the mountains, taking what they needed to make camp, the rest of the community, including women, children and the elderly, gathered wild plants from the area around the village. These plants complemented the food obtained by hunting and fishing and provided materials for crafts.",0,['No issues detected'],['No issues detected'],['No issues detected'],"Ekamasune is a traditional Ainu bag, woven from rushes in a striking chevron pattern. The indigo fabric panels at the ends showcase the unique artistry of Hokkaido’s Indigenous Ainu people. Crafted in the 19th century, this bag reflects both creativity and resourcefulness—carrying personal stories and daily necessities, while connecting us to Ainu cultural practices and their relationship with the land.",1,['Traditional'],"[""The term “traditional” itself is not necessarily problematic, but it can have a negative meaning when contrasted with terms like 'modern' or 'progress.' Several scholars have argued this contrast was part of a Eurocentric, colonial mindset that portrayed non-European cultures as stuck in the past, while Europe was seen as modern and forward-thinking. This divide still exists today, especially when referring to “traditional arts and cultures,” a term often linked to ethnographic museums.""]","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 140. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/140.']"
