museum_reference,title,description,date,style_culture,image,interpretation,GenAIinterpretation,tokens_used,wordCount,GenAIwordCount,sentenceCount,GenAIsentenceCount,fleschReadingEase,genAIfleschReadingEase,mcalpineEFLAW,genAImcalpineEFLAW,flairSentiment,flairScore,GenAIflairSentiment,GenAIflairScore,vadarNeg,vadarPos,vadarNeu,vadarCompound,GenAIvadarNeg,GenAIvadarPos,GenAIvadarNeu,GenAIvadarCompound,countTermsDetected,terms,issues,sources,genAIcountTermsDetected,genAIterms,genAIissues,genAIsources
A.1911.397.243,Firestick,"Firestick, wood with a reed sheath decorated with Abrus precatorius seeds: Australasia, Australia, Australian Aboriginal, 19th to 20th century",19th - 20th century,Australian Aboriginal,A.1911.397.243.png,"A common method for making fire was to rub two pieces of wood together. These firesticks have a cover to keep them dry, which is decorated with red seeds.","Firesticks such as this, with a reed sheath and Abrus precatorius seeds, were used by Australian Aboriginal peoples in daily life for creating fire—a vital source of warmth, light, and sustenance. The decorated sheath honours its role and the ingenuity of its makers, connecting generations through tradition and skill. How might this small object have shaped stories around the fire?",1258,29,60,2,3,72.51060344827589,49.76500000000004,20.5,25.666666666666668,POSITIVE,0.8766655921936035,POSITIVE,0.9992535710334778,0.085,0.0,0.915,-0.34,0.036,0.158,0.806,0.802,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.372.39,Vessel,"Vessel (coolamon), roughly elliptical with raised sides, pigmented red with brown stripes, wood: Australasia, Australia, Western Australia, Kimberley, Derby, 19th century",19th century,Australian Aboriginal,A.1898.372.39.png,"Coolamon are wooden dishes moulded over a fire to give them their curved shape. They are used to transport food and water, or as baby-carriers.","This coolamon, an elliptical wooden vessel from 19th-century Western Australia, was skillfully crafted and decorated by Aboriginal people. Used for carrying food, water, or even cradling babies, it embodies daily life and tradition. The red pigment and brown stripes reflect both artistic expression and cultural identity. Imagine the hands that shaped, held, and used this vessel—each mark a connection to the Kimberley community’s enduring knowledge and resourcefulness.",1273,25,67,2,4,68.93950000000002,24.42180970149255,16.5,21.25,POSITIVE,0.9978504180908204,POSITIVE,0.9999674558639526,0.094,0.0,0.906,-0.34,0.0,0.0,1.0,0.0,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1911.397.159,Bag,"String bag (dilly-bag), plant fibre: Australasia, Australia, Queensland, 19th or 20th century",19th - 20th century,Australian Aboriginal,A.1911.397.159.png,"Across Australia's Northern Territory, Aboriginal women still make string bags to carry food and fish. The bags are lined with feathers or animal fur to stop food falling out through the holes. When making string bags, women sit on the ground and use their outstretched legs as a frame.","Woven from plant fibres, this Australian Aboriginal dilly-bag reflects skill passed through generations. Used to gather and carry food, it embodies deep connections to land and community in Queensland. Notice the open weave—strong yet flexible, it speaks to daily life, resourcefulness, and sustainable practices of its makers. How might this humble bag shape your understanding of life in 19th–20th century Australia?",1258,49,61,3,4,71.12605442176874,42.959528688524614,21.666666666666668,19.5,POSITIVE,0.9320387840270996,POSITIVE,0.9999372959136964,0.076,0.0,0.924,-0.4215,0.0,0.031,0.969,0.2263,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
K.2002.825,Basket,"Basket, bicornual with handle, cane plant: Australasia, Australia, Queensland, Port Douglas, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,K.2002.825.png,"Crescent-shaped cane baskets were unique to the Queensland region of Australia. They had to be constructed quickly, because after a few days the cane became too tough to weave. These baskets were used to collect food, and in times of flooding, women used them to catch small fish.","Handwoven from cane plant, this bicornual basket comes from the Aboriginal communities of Port Douglas, Queensland. Used throughout the 19th century, such baskets carried food or personal belongings. The sturdy handle and flared shape reflect skilled craftsmanship and deep knowledge of natural materials. Imagine the daily journeys this basket supported, connecting its maker and user to the land and to one another.",1250,48,62,3,4,76.0325,41.00572580645163,21.333333333333332,19.5,NEGATIVE,0.995500147342682,POSITIVE,0.9999547004699708,0.032,0.0,0.968,-0.128,0.0,0.074,0.926,0.5859,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
V.2008.25,Basket,"Basket with black, red and yellow strips running through coil, representing the colours of the Australian Aboriginal flag, plant fibre: Australasia, Australia, South Australia, Pukatja, Australian Aboriginal: Pitjantjatjara, by Alison (Milyika) Carroll, 2007",c. 2007,Pitjantjatjara,V.2008.25.png,"Colourful coiled baskets are popular tourist items, available in many shops and galleries of Aboriginal art. Natural dyes are used to create bright purples, pinks, yellows and reds. The baskets are created by coiling bunches of fibre strands and are expanded and shaped upwards as the work proceeds.","Woven by Alison (Milyika) Carroll in 2007, this basket’s black, red, and yellow bands honour the colours of the Australian Aboriginal flag. Carroll’s work draws on Pitjantjatjara tradition, each coil crafted from local plant fibre. Such baskets are not just practical objects—they carry the stories, knowledge, and resilience of Aboriginal communities, inviting us to reflect on cultural identity and continuity across generations.",1290,48,62,3,3,51.357500000000016,18.022849462365627,21.666666666666668,26.333333333333332,POSITIVE,0.999935507774353,POSITIVE,0.9999608993530272,0.0,0.222,0.778,0.8834,0.0,0.091,0.909,0.7184,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.403,Necklace,"Necklace consisting of small oblongs of pearl shell perforated and strung on cordage: Australasia, Australia, Queensland, Cape York Peninsula, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,A.1898.403.png,"In Aboriginal culture, the fibre cord is the most important part of a necklace. It symbolizes the connections between people. Necklaces are worn by men and woman in ceremonies. Shell necklaces are valuable and traded inland across Australia. Great effort and skill went into collecting, cleaning, drilling and threading these tiny shells.","This delicate necklace, made from pearl shell oblongs strung on cordage, connects us to the Aboriginal peoples of Cape York Peninsula, Queensland. Crafted in the 19th century, each shimmering bead reflects the natural resources and artistry of its maker. Such adornments not only served as personal decoration but also carried social and cultural meaning within communities. As you look closely, imagine the hands that shaped these shells, linking a tradition that endures through generations.",1275,52,74,5,4,48.22900000000001,40.57912162162165,13.8,23.25,POSITIVE,0.9999384880065918,POSITIVE,0.9999727010726928,0.038,0.159,0.804,0.796,0.0,0.057,0.943,0.3071,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.1898.372.65,Sinew,"Sinews (candarra) of emu and kangaroo: Australasia, Australia, Western Australia, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,A.1898.372.65.png,"In the Australian desert, survival depends upon knowing how to manage resources. Every part of an animal can be useful. Traditionally, sinew from a kangaroo or emu was used to secure spearheads to handles or as thread for making a necklace. The introduction of sheep by Europeans has totally transformed the Australian landscape.","Sinews (candarra) from emu and kangaroo were essential to Australian Aboriginal life in 19th-century Western Australia. Strong yet flexible, they were painstakingly prepared by hand and used for binding and sewing, from fixing spearheads to mending cloaks. Each strand connects to stories of ingenuity, survival, and continuing cultural tradition. What does the care in this preparation tell you about the makers and their way of life?",1265,53,66,4,4,44.937193396226434,41.39659090909092,19.0,21.5,POSITIVE,0.999851942062378,POSITIVE,0.9999611377716064,0.0,0.098,0.902,0.6486,0.0,0.181,0.819,0.91,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
A.UC.105,Cooking vessel,"Cooking vessel with cord for suspension, wood from Manuka tree: Australasia, Australia, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,A.UC.105.png,"These bowls are made from Manuka or tea tree wood, which is common in parts of Australia. Knots from a trunk have been hollowed out to create the bowls.","This 19th-century Australian Aboriginal cooking vessel, crafted from sturdy Manuka wood, reveals the ingenuity of its makers. Its rounded form and attached cord made it easy to suspend over a fire, vital for everyday cooking. Imagine the hands that shaped and used this vessel, relying on it to prepare meals and gather community. Each burnished mark speaks to its role in daily life—connecting us to a tradition of resourcefulness and care for the land.",1262,29,74,2,4,90.01405172413794,46.29533783783785,19.5,24.75,NEGATIVE,0.997929573059082,POSITIVE,0.9999759197235109,0.0,0.072,0.928,0.2732,0.059,0.104,0.838,0.5574,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']"
K.1999.590 A,Mask,"Mask, in the form of a thunderbird, operated by cords by the wearer to open to reveal a human face inside, part of an adult Kwakiutl style transformation mask and costume, carved cedar: Kwakwaka'wakw, North America, Canada, British Columbia, Fort Rupert, by Calvin Hunt, 1998 - 1999",1998 - 1999,Kwakwaka'wakw,K.1999.590 A.png,"The dance performances of the Nuu-cha-nulth and Kwakwaka wakw people are inherited privileges which dramatically re-enact events from oral histories. Calvin Hunt (born 1956) received the rights to the Thunderbird crest, stories and dance outfit through his mother, Emma Hunt. The Thunderbird mask opens to show a human face, referring to the transformation of an ancestor who helped the Great Chief during a terrible flood. Hunt danced the mask and outfit in Port Hardy, Vancouver Island, before they were sent to Scotland.","This Kwakwaka'wakw transformation mask, carved by Calvin Hunt in 1998–1999, represents the powerful thunderbird. Worn as part of a dramatic performance, it opens by cords to reveal a human face, showcasing the connection between the spirit world and humanity. Made from cedar and feathers, the mask plays a central role in telling ancestral stories and cultural beliefs through ceremony and dance.",1302,82,61,4,3,48.810426829268295,46.12125683060111,26.5,26.666666666666668,POSITIVE,0.9981544613838196,POSITIVE,0.9999581575393676,0.035,0.106,0.859,0.743,0.035,0.104,0.861,0.5106,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.UC.272,Canoe,"Model 'head' canoe, of cedar wood, painted with crest designs: North America, Canada, British Columbia, Haida Gwaii, Haida, early 19th century",Early 19th century,Haida,A.UC.272.png,"Northwest Coast people are maritime communities, their life and values symbolized as much by the oceangoing canoe as the totem pole. Traditionally, canoes were used in trade, war and visits for feasting. The Haida might paddle trading fleets on a round trip of 2000 kilometres and some sea-going canoes reached up to 20 metres in length.","This intricately carved cedar model canoe, painted with crest designs, reflects the artistry and seafaring traditions of the Haida people of Haida Gwaii. Used for trade, travel, and storytelling, canoes like this connected families and communities along the coast. Notice the careful craftsmanship and the vivid designs—each a testament to Haida identity and skill handed down through generations.",1262,56,58,3,3,54.94547619047623,34.05649425287359,25.333333333333332,24.333333333333332,POSITIVE,0.9965788722038268,POSITIVE,0.9999467134475708,0.065,0.068,0.867,-0.2023,0.0,0.069,0.931,0.4767,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
