museum_reference,title,description,date,style_culture,image,interpretation,GenAIinterpretation,tokens_used,wordCount,GenAIwordCount,sentenceCount,GenAIsentenceCount,fleschReadingEase,genAIfleschReadingEase,mcalpineEFLAW,genAImcalpineEFLAW,flairSentiment,flairScore,GenAIflairSentiment,GenAIflairScore,vadarNeg,vadarPos,vadarNeu,vadarCompound,GenAIvadarNeg,GenAIvadarPos,GenAIvadarNeu,GenAIvadarCompound,countTermsDetected,terms,issues,sources,genAIcountTermsDetected,genAIterms,genAIissues,genAIsources,racialBias,religiousBias,genderBias,ageBias,nationalityBias,sexualityBias,socioeconomicBias,educationalBias,disabilityBias,politicalBias,physicalBias,genAIracialBias,genAIreligiousBias,genAIgenderBias,genAIageBias,genAInationalityBias,genAIsexualityBias,genAIsocioeconomicBias,genAIeducationalBias,genAIdisabilityBias,genAIpoliticalBias,genAIphysicalBias
A.1911.397.243,Firestick,"Firestick, wood with a reed sheath decorated with Abrus precatorius seeds: Australasia, Australia, Australian Aboriginal, 19th to 20th century",19th - 20th century,Australian Aboriginal,A.1911.397.243.png,"A common method for making fire was to rub two pieces of wood together. These firesticks have a cover to keep them dry, which is decorated with red seeds.","Firesticks such as this, with a reed sheath and Abrus precatorius seeds, were used by Australian Aboriginal peoples in daily life for creating fire—a vital source of warmth, light, and sustenance. The decorated sheath honours its role and the ingenuity of its makers, connecting generations through tradition and skill. How might this small object have shaped stories around the fire?",1258,29,60,2,3,72.51060344827589,49.76500000000004,20.5,25.666666666666668,POSITIVE,0.8766655921936035,POSITIVE,0.9992535710334778,0.085,0.0,0.915,-0.34,0.036,0.158,0.806,0.802,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.649307906627655,0.1504535973072052,0.003767710877582431,0.0025292392820119858,0.12053076177835464,0.0010857477318495512,0.011752021498978138,0.001821313751861453,0.0007065795944072306,0.0016366603085771203,0.056408461183309555,0.9626227021217346,0.0003455591795500368,7.678437395952642e-05,4.240973430569284e-05,0.03414846956729889,5.616245107376017e-05,0.002313737291842699,0.00010032398131443188,4.043093213113025e-05,0.0001407465897500515,0.00011265387001913041
A.1898.372.39,Vessel,"Vessel (coolamon), roughly elliptical with raised sides, pigmented red with brown stripes, wood: Australasia, Australia, Western Australia, Kimberley, Derby, 19th century",19th century,Australian Aboriginal,A.1898.372.39.png,"Coolamon are wooden dishes moulded over a fire to give them their curved shape. They are used to transport food and water, or as baby-carriers.","This coolamon, an elliptical wooden vessel from 19th-century Western Australia, was skillfully crafted and decorated by Aboriginal people. Used for carrying food, water, or even cradling babies, it embodies daily life and tradition. The red pigment and brown stripes reflect both artistic expression and cultural identity. Imagine the hands that shaped, held, and used this vessel—each mark a connection to the Kimberley community’s enduring knowledge and resourcefulness.",1273,25,67,2,4,68.93950000000002,24.42180970149255,16.5,21.25,POSITIVE,0.9978504180908204,POSITIVE,0.9999674558639526,0.094,0.0,0.906,-0.34,0.0,0.0,1.0,0.0,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.012445899657905102,0.0038813569117337465,0.0011203163303434849,0.0031555434688925743,0.012774692848324776,0.002000582404434681,0.11387792974710464,0.0010926476679742336,0.00269733346067369,0.0007761407177895308,0.8461775183677673,0.752303421497345,0.0004623793647624552,0.0001517330965725705,6.64775216137059e-05,0.2446868121623993,8.2402526459191e-05,0.0013987437123432755,0.000317776866722852,5.5812462960602716e-05,0.0004024391819257289,7.209477189462632e-05
A.1911.397.159,Bag,"String bag (dilly-bag), plant fibre: Australasia, Australia, Queensland, 19th or 20th century",19th - 20th century,Australian Aboriginal,A.1911.397.159.png,"Across Australia's Northern Territory, Aboriginal women still make string bags to carry food and fish. The bags are lined with feathers or animal fur to stop food falling out through the holes. When making string bags, women sit on the ground and use their outstretched legs as a frame.","Woven from plant fibres, this Australian Aboriginal dilly-bag reflects skill passed through generations. Used to gather and carry food, it embodies deep connections to land and community in Queensland. Notice the open weave—strong yet flexible, it speaks to daily life, resourcefulness, and sustainable practices of its makers. How might this humble bag shape your understanding of life in 19th–20th century Australia?",1258,49,61,3,4,71.12605442176874,42.959528688524614,21.666666666666668,19.5,POSITIVE,0.9320387840270996,POSITIVE,0.9999372959136964,0.076,0.0,0.924,-0.4215,0.0,0.031,0.969,0.2263,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.052624013274908066,0.0007198608946055174,0.920499324798584,4.0881121094571427e-05,0.02484837919473648,0.00022253309725783765,0.0004886770038865507,3.59433215635363e-05,5.756707105319947e-05,0.00017081400437746197,0.0002918602549470961,0.07054241001605988,0.00026567824534140527,0.00013841599866282195,4.642319254344329e-05,0.9255037903785706,0.00011408016143832356,0.00272162607870996,0.00013967360428068787,2.7032714569941163e-05,0.00040714588249102235,9.372691420139745e-05
K.2002.825,Basket,"Basket, bicornual with handle, cane plant: Australasia, Australia, Queensland, Port Douglas, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,K.2002.825.png,"Crescent-shaped cane baskets were unique to the Queensland region of Australia. They had to be constructed quickly, because after a few days the cane became too tough to weave. These baskets were used to collect food, and in times of flooding, women used them to catch small fish.","Handwoven from cane plant, this bicornual basket comes from the Aboriginal communities of Port Douglas, Queensland. Used throughout the 19th century, such baskets carried food or personal belongings. The sturdy handle and flared shape reflect skilled craftsmanship and deep knowledge of natural materials. Imagine the daily journeys this basket supported, connecting its maker and user to the land and to one another.",1250,48,62,3,4,76.0325,41.00572580645163,21.333333333333332,19.5,NEGATIVE,0.995500147342682,POSITIVE,0.9999547004699708,0.032,0.0,0.968,-0.128,0.0,0.074,0.926,0.5859,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.00018839242693502456,8.245237404480577e-05,0.9867241978645325,1.8869961422751658e-05,0.01245180144906044,5.631655585602857e-05,0.0001496569166192785,3.2343672501156107e-05,4.030566560686566e-05,2.1485164324985817e-05,0.00023411252186633646,0.9027674198150635,0.00029334024293348193,0.00015582422201987356,6.744586426066235e-05,0.08564694970846176,5.525547021534294e-05,0.01051291637122631,0.0001463345979573205,6.225332617759705e-05,0.00018508272478356957,0.00010709866910474375
V.2008.25,Basket,"Basket with black, red and yellow strips running through coil, representing the colours of the Australian Aboriginal flag, plant fibre: Australasia, Australia, South Australia, Pukatja, Australian Aboriginal: Pitjantjatjara, by Alison (Milyika) Carroll, 2007",c. 2007,Pitjantjatjara,V.2008.25.png,"Colourful coiled baskets are popular tourist items, available in many shops and galleries of Aboriginal art. Natural dyes are used to create bright purples, pinks, yellows and reds. The baskets are created by coiling bunches of fibre strands and are expanded and shaped upwards as the work proceeds.","Woven by Alison (Milyika) Carroll in 2007, this basket’s black, red, and yellow bands honour the colours of the Australian Aboriginal flag. Carroll’s work draws on Pitjantjatjara tradition, each coil crafted from local plant fibre. Such baskets are not just practical objects—they carry the stories, knowledge, and resilience of Aboriginal communities, inviting us to reflect on cultural identity and continuity across generations.",1290,48,62,3,3,51.357500000000016,18.022849462365627,21.666666666666668,26.333333333333332,POSITIVE,0.999935507774353,POSITIVE,0.9999608993530272,0.0,0.222,0.778,0.8834,0.0,0.091,0.909,0.7184,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",2,"['Aboriginal', 'Aboriginal']","['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.', '‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.', 'Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.9680455923080444,0.00023389588750433177,0.0002544607559684664,3.743826164281927e-05,0.02907480113208294,0.00011542986612766981,0.0017784996889531612,0.00010935404134215787,4.1938059439416975e-05,0.00019864064233843237,0.0001100616209441796,0.9644947052001953,0.0002104123996105045,0.00017760660557541996,3.747679147636518e-05,0.03362497687339783,9.987494559027255e-05,0.0008857594802975655,0.00010298126289853826,2.84243724308908e-05,0.00029386949609033763,4.392279151943512e-05
A.1898.403,Necklace,"Necklace consisting of small oblongs of pearl shell perforated and strung on cordage: Australasia, Australia, Queensland, Cape York Peninsula, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,A.1898.403.png,"In Aboriginal culture, the fibre cord is the most important part of a necklace. It symbolizes the connections between people. Necklaces are worn by men and woman in ceremonies. Shell necklaces are valuable and traded inland across Australia. Great effort and skill went into collecting, cleaning, drilling and threading these tiny shells.","This delicate necklace, made from pearl shell oblongs strung on cordage, connects us to the Aboriginal peoples of Cape York Peninsula, Queensland. Crafted in the 19th century, each shimmering bead reflects the natural resources and artistry of its maker. Such adornments not only served as personal decoration but also carried social and cultural meaning within communities. As you look closely, imagine the hands that shaped these shells, linking a tradition that endures through generations.",1275,52,74,5,4,48.22900000000001,40.57912162162165,13.8,23.25,POSITIVE,0.9999384880065918,POSITIVE,0.9999727010726928,0.038,0.159,0.804,0.796,0.0,0.057,0.943,0.3071,1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.5482235550880432,0.0011530519695952535,0.23871766030788422,0.00012859090929850936,0.20858566462993622,0.0005646332865580916,0.001720429747365415,0.00021912623196840286,9.725953714223579e-05,0.0002400297817075625,0.0003499824379105121,0.9292967915534973,0.0002753696171566844,0.00011049677414121106,5.7584966270951554e-05,0.06807827949523926,6.076172576285899e-05,0.0017102319980040193,0.00010155954805668443,4.333372271503322e-05,0.00016914852312766016,9.638003393774852e-05
A.1898.372.65,Sinew,"Sinews (candarra) of emu and kangaroo: Australasia, Australia, Western Australia, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,A.1898.372.65.png,"In the Australian desert, survival depends upon knowing how to manage resources. Every part of an animal can be useful. Traditionally, sinew from a kangaroo or emu was used to secure spearheads to handles or as thread for making a necklace. The introduction of sheep by Europeans has totally transformed the Australian landscape.","Sinews (candarra) from emu and kangaroo were essential to Australian Aboriginal life in 19th-century Western Australia. Strong yet flexible, they were painstakingly prepared by hand and used for binding and sewing, from fixing spearheads to mending cloaks. Each strand connects to stories of ingenuity, survival, and continuing cultural tradition. What does the care in this preparation tell you about the makers and their way of life?",1265,53,66,4,4,44.937193396226434,41.39659090909092,19.0,21.5,POSITIVE,0.999851942062378,POSITIVE,0.9999611377716064,0.0,0.098,0.902,0.6486,0.0,0.181,0.819,0.91,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.0001066612167051062,4.2027575545944273e-05,6.265513366088271e-05,1.5891739167273045e-05,0.9995253086090088,3.652509258245118e-05,0.0001144782654591836,2.0675011910498142e-05,1.3055057934252545e-05,3.2453543099109083e-05,3.02732914860826e-05,0.48041394352912903,0.0004580679815262556,0.0002972354122903198,0.00012552793486975133,0.5169979929924011,0.00016248006431851536,0.0008298092288896441,0.00023224164033308625,4.2930587369482964e-05,0.0003409125783946365,9.877326374407858e-05
A.UC.105,Cooking vessel,"Cooking vessel with cord for suspension, wood from Manuka tree: Australasia, Australia, Australian Aboriginal, 19th century",19th century,Australian Aboriginal,A.UC.105.png,"These bowls are made from Manuka or tea tree wood, which is common in parts of Australia. Knots from a trunk have been hollowed out to create the bowls.","This 19th-century Australian Aboriginal cooking vessel, crafted from sturdy Manuka wood, reveals the ingenuity of its makers. Its rounded form and attached cord made it easy to suspend over a fire, vital for everyday cooking. Imagine the hands that shaped and used this vessel, relying on it to prepare meals and gather community. Each burnished mark speaks to its role in daily life—connecting us to a tradition of resourcefulness and care for the land.",1262,29,74,2,4,90.01405172413794,46.29533783783785,19.5,24.75,NEGATIVE,0.997929573059082,POSITIVE,0.9999759197235109,0.0,0.072,0.928,0.2732,0.059,0.104,0.838,0.5574,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Aboriginal'],"['‘Aboriginal’ describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also ‘Indigenous’). The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as ‘Aboriginal’, preferring to emphasise other markers of their identity such as language, land and clan relationships.']","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 90. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/90.']",0.00011845599510706961,0.00011174372775712982,0.00020037290232721716,2.5445975552429445e-05,0.9993239641189575,4.497270128922537e-05,4.8153786337934434e-05,1.5595676813973114e-05,1.8234948583994992e-05,4.619951869244687e-05,4.6834462409606203e-05,0.7474852204322815,0.0004685245512519032,0.0002231350663350895,8.408635039813817e-05,0.24889563024044037,9.916442650137469e-05,0.002049087081104517,0.00021385490254033357,4.6986471716081724e-05,0.0003362789866514504,9.799323015613481e-05
K.1999.590 A,Mask,"Mask, in the form of a thunderbird, operated by cords by the wearer to open to reveal a human face inside, part of an adult Kwakiutl style transformation mask and costume, carved cedar: Kwakwaka'wakw, North America, Canada, British Columbia, Fort Rupert, by Calvin Hunt, 1998 - 1999",1998 - 1999,Kwakwaka'wakw,K.1999.590 A.png,"The dance performances of the Nuu-cha-nulth and Kwakwaka wakw people are inherited privileges which dramatically re-enact events from oral histories. Calvin Hunt (born 1956) received the rights to the Thunderbird crest, stories and dance outfit through his mother, Emma Hunt. The Thunderbird mask opens to show a human face, referring to the transformation of an ancestor who helped the Great Chief during a terrible flood. Hunt danced the mask and outfit in Port Hardy, Vancouver Island, before they were sent to Scotland.","This Kwakwaka'wakw transformation mask, carved by Calvin Hunt in 1998–1999, represents the powerful thunderbird. Worn as part of a dramatic performance, it opens by cords to reveal a human face, showcasing the connection between the spirit world and humanity. Made from cedar and feathers, the mask plays a central role in telling ancestral stories and cultural beliefs through ceremony and dance.",1302,82,61,4,3,48.810426829268295,46.12125683060111,26.5,26.666666666666668,POSITIVE,0.9981544613838196,POSITIVE,0.9999581575393676,0.035,0.106,0.859,0.743,0.035,0.104,0.861,0.5106,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected,0.8734261989593506,0.00315672205761075,0.0003458723076619208,0.00034014717675745487,0.11729322373867035,0.0002937833487521857,0.003421243978664279,0.0004932215670123696,0.00012028075434500352,0.0006494791596196592,0.0004597808583639562,0.9043164253234863,0.07533722370862961,0.0006590504781343043,0.000761701725423336,0.005950281396508217,0.0019391401438042521,0.001890110201202333,0.0014536362141370773,0.0006352104828692973,0.0034900144673883915,0.003567260690033436
A.UC.272,Canoe,"Model 'head' canoe, of cedar wood, painted with crest designs: North America, Canada, British Columbia, Haida Gwaii, Haida, early 19th century",Early 19th century,Haida,A.UC.272.png,"Northwest Coast people are maritime communities, their life and values symbolized as much by the oceangoing canoe as the totem pole. Traditionally, canoes were used in trade, war and visits for feasting. The Haida might paddle trading fleets on a round trip of 2000 kilometres and some sea-going canoes reached up to 20 metres in length.","This intricately carved cedar model canoe, painted with crest designs, reflects the artistry and seafaring traditions of the Haida people of Haida Gwaii. Used for trade, travel, and storytelling, canoes like this connected families and communities along the coast. Notice the careful craftsmanship and the vivid designs—each a testament to Haida identity and skill handed down through generations.",1262,56,58,3,3,54.94547619047623,34.05649425287359,25.333333333333332,24.333333333333332,POSITIVE,0.9965788722038268,POSITIVE,0.9999467134475708,0.065,0.068,0.867,-0.2023,0.0,0.069,0.931,0.4767,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected,0.08732785284519196,0.006305410526692867,0.0009029004722833633,0.0004490576684474945,0.8692123889923096,0.0014883067924529314,0.024663573130965233,0.0030059865675866604,0.0001969262957572937,0.00456097349524498,0.0018866929458454251,0.8823708891868591,0.0034360717982053757,0.0005544343730434775,0.0005681474576704204,0.09255519509315491,0.0011912017362192273,0.015248901210725307,0.002000818494707346,0.0005097275134176016,0.0008504123543389142,0.0007143598631955683
